AssetType,Easting,Northing,Geometry,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
LD Watercourses,376315.73630717699,160606.99598085403,"{""type"":""LineString"",""coordinates"":[[-2.341426064654424,51.344024399756861],[-2.341427481612162,51.344071678639615]]}","(51.34404803919824, -2.3414267731332927)",10,114,60,10,1
LD Watercourses,373485.59847157157,159593.496092179,"{""type"":""LineString"",""coordinates"":[[-2.381985821847791,51.334809577259236],[-2.381980141065644,51.334809595796244]]}","(51.33480958652773, -2.3819829814567175)",10,114,60,10,1
LD Watercourses,373580.00029864849,159919.95264496299,"{""type"":""LineString"",""coordinates"":[[-2.380646518808515,51.337748909443675],[-2.380658006908378,51.337749771006621]]}","(51.33774934022514, -2.3806522628584466)",9,28,64,22,1
LD Watercourses,378630.7474603685,159582.76416416198,"{""type"":""LineString"",""coordinates"":[[-2.308139230315667,51.33494367193471],[-2.308117517371851,51.334917930167293]]}","(51.334930801051, -2.308128373843759)",10,113,54,10,1
LD Watercourses,372280.00151483802,159257.05239818501,"{""type"":""LineString"",""coordinates"":[[-2.399244445921195,51.331711033588441],[-2.39927915670901,51.331742377394178]]}","(51.331726705491306, -2.3992618013151024)",9,28,64,22,1
LD Watercourses,375163.25403405656,158120.1828237155,"{""type"":""LineString"",""coordinates"":[[-2.357816886592134,51.321622394287161],[-2.357780455678113,51.321654237546817]]}","(51.321638315916985, -2.3577986711351233)",10,114,60,10,1
LD Watercourses,375166.26348135853,158117.708531974,"{""type"":""LineString"",""coordinates"":[[-2.357736393162163,51.321632888031075],[-2.357774231984068,51.321599512316624]]}","(51.32161620017385, -2.357755312573116)",10,114,60,10,1
LD Watercourses,375260.57873529452,158049.12816290051,"{""type"":""LineString"",""coordinates"":[[-2.356415332535797,51.321018730724859],[-2.356378894079959,51.320988637951714]]}","(51.32100368433829, -2.356397113307878)",10,114,60,10,1
LD Watercourses,375263.6665106765,158051.92736163799,"{""type"":""LineString"",""coordinates"":[[-2.356370572401409,51.321044576145063],[-2.356335427049149,51.321013400716687]]}","(51.321028988430875, -2.356352999725279)",10,114,55,10,1
LD Watercourses,374145.54965222551,158079.14956936252,"{""type"":""LineString"",""coordinates"":[[-2.372443458480972,51.321227714789302],[-2.372355839976293,51.3212199032725]]}","(51.3212238090309, -2.3723996492286323)",10,114,60,10,1
LD Watercourses,374137.74982442404,158092.1958349075,"{""type"":""LineString"",""coordinates"":[[-2.372564801019956,51.321323513139966],[-2.372460250733218,51.321358004872351]]}","(51.32134075900616, -2.372512525876587)",10,114,60,10,1
LD Watercourses,374145.2528300265,158098.44904494449,"{""type"":""LineString"",""coordinates"":[[-2.372437983115037,51.321442664175855],[-2.372372646544836,51.321351991164036]]}","(51.32139732766994, -2.3724053148299364)",10,114,60,10,1
LD Watercourses,373240.60060348245,157283.54730814049,"{""type"":""LineString"",""coordinates"":[[-2.3852739617584,51.314043083954729],[-2.385376985607931,51.314013080347813]]}","(51.31402808215127, -2.3853254736831655)",10,114,60,10,1
