the_geom,Name,Descriptio
POINT (-2.54319367724762 51.3755045226679),kml_155,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.52967690844857 51.3784002733226),kml_156,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.52279931740574 51.4143967875588),kml_157,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51352786935766 51.4295457631805),kml_158,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51204321432538 51.380346109666),kml_159,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51108906288758 51.380464080376),kml_160,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51025768844115 51.4236753490272),kml_161,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51019748185321 51.4237741316396),kml_162,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50937219931135 51.4242374247871),kml_163,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.50860035805602 51.3801236191441),kml_164,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.61944223325704 51.3672328007235),kml_165,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.6072389908977 51.3674166302725),kml_166,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60692539167854 51.3678124326213),kml_167,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.58689940403323 51.3810978713307),kml_168,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.58062271653993 51.3686513594274),kml_169,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.58228166174908 51.2920189058784),kml_170,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.59910122344958 51.2995741216712),kml_171,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60624928137119 51.3089504625175),kml_172,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.51944954777752 51.313322772109),kml_173,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.52705277977007 51.3157664919869),kml_174,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.52786058539046 51.3158818695874),kml_175,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.5229380649697 51.3159769579322),kml_176,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.65704917456208 51.3202907879155),kml_177,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.40234444125033 51.3856838128867),kml_178,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.28921332178551 51.3283466038223),kml_179,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.5708491623664 51.3722166098044),kml_180,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.67471537473163 51.3290028696073),kml_181,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.67080118937556 51.325630376193),kml_182,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.6230296996863 51.3054552235075),kml_183,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.60729275654312 51.3093493918682),kml_184,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31889940506985 51.4093869503893),kml_185,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31687005341861 51.4130563995258),kml_186,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.31319294912516 51.4228291158844),kml_187,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.55700775887937 51.3152838505534),kml_188,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.57052466082539 51.3156401662386),kml_189,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45137451190796 51.3204623582839),kml_190,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.45124274654674 51.3203819633073),kml_191,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36849787943931 51.4250344332771),kml_192,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.41709483617431 51.3699186606207),kml_193,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35918654136536 51.3229664245898),kml_194,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35038698664096 51.3155752102397),kml_195,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32715811459149 51.4371314042394),kml_196,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.48750751751369 51.2834171276066),kml_197,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.4429871123705 51.3505303864324),kml_198,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.56594223577539 51.367394804668),kml_199,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54899375946906 51.3711796608927),kml_200,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.49709869773265 51.3768454021348),kml_201,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.54239381360872 51.3768842022467),kml_202,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.5779435139092 51.3779822636408),kml_203,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38110449051304 51.3822884882861),kml_204,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37452402149773 51.3809688160734),kml_205,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.37461604120382 51.380703792212),kml_206,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36769122808628 51.381080724238),kml_207,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36773944864992 51.3811253385817),kml_208,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36842410556134 51.3807722511137),kml_209,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36847971634178 51.3808224151515),kml_210,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36745222249974 51.3811782873457),kml_211,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.36746989550604 51.3812399870925),kml_212,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.35887370275669 51.3796423188882),kml_213,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.32640202344678 51.4018376629525),kml_214,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38738404894447 51.3922591857357),kml_215,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38673181654593 51.3919358462837),kml_216,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.38668303867954 51.3919691771572),kml_217,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39642985719753 51.3981401426681),kml_218,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39636877590028 51.3980937859174),kml_219,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39586409871813 51.3980622333813),kml_220,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39583892590982 51.3980567452349),kml_221,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39547026864288 51.3980346191516),kml_222,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39551440418074 51.3979852098552),kml_223,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.3951009591666 51.3977856093571),kml_224,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39484721365661 51.3977301035768),kml_225,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39417761357272 51.3974420116293),kml_226,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39424748381127 51.3973944937795),kml_227,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.39408203222452 51.3973249357379),kml_228,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
POINT (-2.3940178156585 51.3973683893737),kml_229,<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><
