postcode,status,has_lines_below_2m,average_speed,median_speed,max_speed,has_fibre,connections,longitude,latitude,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
BA32PQ,OK,N,19.4,14.8,30,Y,4,-2.49378132053018,51.2811463206982,"(51.281146, -2.493781)",25,13,302,27,1
BA19AB,OK,Y,15.4,3.8,30,Y,7,-2.40699827895851,51.393265941705,"(51.393266, -2.406998)",29,18,310,8,1
BA13BL,OK,Y,17.1,11.9,30,Y,34,-2.38180469395936,51.3865710572815,"(51.386571, -2.381805)",34,54,203,9,1
BA17JQ,Insufficient Premises,,,,,N,2,-2.33288928372631,51.4086150047026,"(51.408615, -2.332889)",1,25,34,10,1
BA32QA,No Data,,,,,Y,0,-2.49210404973857,51.2838509471255,"(51.283851, -2.492104)",25,13,302,27,1
BA11AP,OK,Y,7.7,7.9,19.7,N,8,-2.35837553111751,51.3785615760429,"(51.378562, -2.358376)",35,21,13,7,1
BA13JZ,OK,N,16.8,7.9,30,Y,17,-2.39038060623877,51.3844926794534,"(51.384493, -2.390381)",29,15,325,8,1
BA12PP,No premises,,,,,Y,0,-2.395713016482,51.3846276414028,"(51.384628, -2.395713)",29,17,320,8,1
BA26QJ,OK,Y,17.8,10.4,30,Y,6,-2.35268578557709,51.3879032252097,"(51.387903, -2.352686)",36,96,498,6,1
BA33DU,OK,N,17,14.4,30,Y,6,-2.45538071583337,51.3024508720262,"(51.302451, -2.455381)",12,76,405,24,1
BS408YB,No Data,,,,,N,0,-2.64437253063457,51.3437348853438,"(51.343735, -2.644373)",6,31,84,21,1
BS408TZ,OK,Y,4.2,3.9,9.6,N,7,-2.63407318248259,51.3558401415149,"(51.35584, -2.634073)",6,31,82,21,1
BA17PW,OK,Y,12.6,13.1,20.6,N,22,-2.30917963053262,51.4063062053285,"(51.406306, -2.30918)",1,24,38,10,1
BA14AG,OK,N,30,30,30,Y,4,-2.3846002762717,51.3909138829124,"(51.390914, -2.3846)",34,54,197,9,1
BA21RQ,OK,Y,9.2,1.9,30,Y,34,-2.40745942618653,51.3772321531306,"(51.377232, -2.407459)",28,90,470,11,1
BA33NR,OK,N,23.2,15.8,30,Y,22,-2.43844276059011,51.2891896461802,"(51.28919, -2.438443)",12,79,417,24,1
BS311RJ,OK,N,19.1,20,30,Y,3,-2.49077808706195,51.4054702840098,"(51.40547, -2.490778)",16,46,146,3,1
BA20DR,OK,Y,3,3.1,5.2,N,6,-2.44431027403322,51.3324900806618,"(51.33249, -2.44431)",9,28,66,22,1
BA11HA,Insufficient Premises,,,,,N,2,-2.36218506003611,51.3824522475701,"(51.382452, -2.362185)",35,20,11,7,1
BS394BB,OK,Y,6.6,7.6,8.1,N,13,-2.54437159008382,51.3677469832666,"(51.367747, -2.544372)",7,74,400,20,1
BA25ER,OK,Y,10.5,9.1,30,Y,19,-2.34227889985753,51.3606443169341,"(51.360644, -2.342279)",19,37,114,18,1
BA21HD,OK,Y,26,20,30,Y,39,-2.38823295096372,51.3718395090777,"(51.37184, -2.388233)",27,85,441,15,1
BS408QS,No Data,,,,,N,0,-2.61941317126043,51.3762580182974,"(51.376258, -2.619413)",6,31,79,21,1
BA32AG,OK,N,18.3,18.5,30,Y,10,-2.47401501609965,51.2900220933511,"(51.290022, -2.474015)",11,8,285,25,1
BA10TA,No Data,,,,,N,0,-2.35879075452497,51.382049079234,"(51.382049, -2.358791)",35,20,12,7,1
BA12UT,OK,N,16.8,9,30,Y,13,-2.37821298764759,51.3953945538465,"(51.395395, -2.378213)",20,107,548,5,1
BA16LJ,OK,N,22.7,11.7,30,Y,14,-2.35288795307581,51.3936303099886,"(51.39363, -2.352888)",36,93,494,6,1
BS311ND,OK,Y,18.3,17.8,30,Y,15,-2.48729203325759,51.4129299446676,"(51.41293, -2.487292)",16,45,155,3,1
BS397NJ,Insufficient Data,,,,,N,1,-2.50615530692705,51.3059649386582,"(51.305965, -2.506155)",13,68,363,23,1
BA33NB,OK,Y,21.7,11.3,30,Y,44,-2.43017901714445,51.2903173192409,"(51.290317, -2.430179)",12,78,414,24,1
BA16RR,OK,Y,8.7,4,30,Y,14,-2.34649992969362,51.3965716751365,"(51.396572, -2.3465)",23,57,225,4,1
BS313HL,OK,N,16,14.1,30,N,30,-2.45686308406091,51.3996279990747,"(51.399628, -2.456863)",17,81,431,16,1
BA22TW,OK,N,16.3,13.4,30,Y,3,-2.38095410045744,51.3585646685572,"(51.358565, -2.380954)",30,19,328,19,1
BA24LA,OK,N,14.4,8.4,30,Y,6,-2.35379147239551,51.376615327376,"(51.376615, -2.353791)",33,111,572,12,1
