Year,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
2001,6990,South West,Bath and North East Somerset,A36,PU,375300,164240,A367 roundabout,A3062 roundabout,0.31,19,50,2699,39,276,77,11,3,5,12,16,124,3189,d1be2fe079657551e0cf690ff67369f1194a6b12,"(51.37668, -2.35627)",33,109,567,12,1
2001,7128,South West,Bath and North East Somerset,A367,PU,374700,164540,Avon St,A4,0.43,14,26,1245,107,114,17,0,0,0,0,1,19,1511,d84f9f4f2b7be9f05719cc172f1ef4860d5c21ae,"(51.37935, -2.36491)",34,55,196,9,1
2001,7937,South West,Bath and North East Somerset,A4,PR,372000,165640,Broadway,Old Newbridge Hill,0.24,6,31,1600,24,182,19,1,0,1,1,1,22,1859,861eb473df0ab0667ce9f8e3f531ff951193797d,"(51.3891, -2.40378)",29,18,313,8,1
2001,8116,South West,Bath and North East Somerset,A362,PU,366000,154970,B3355,B3355,0.93,9,43,2082,32,298,39,10,3,1,6,10,70,2525,801bbdae500f13057c7ab06719a0b39b800b5b0e,"(51.29284, -2.48899)",11,10,280,25,1
2001,8292,South West,Bath and North East Somerset,A36,PU,375619,165276,Darlington St,Beckford Rd,0.12,8,9,531,17,75,32,4,1,2,2,4,44,677,0d2aba2834a583ee87a9dc2e3eb94e2f1cee721a,"(51.38601, -2.35175)",35,21,24,7,1
2001,16122,South West,Bath and North East Somerset,A36,PR,372200,165000,A4(T),Connection Rd,0.93,14,86,4022,61,604,154,23,13,16,28,56,290,5062,9887838c75c08cde1a901eb69f63c3fbb8eda2c2,"(51.38336, -2.40086)",28,92,478,11,1
2001,16354,South West,Bath and North East Somerset,A37,PR,361900,160000,A39,A368,3.54,3,238,12114,149,2002,617,118,57,79,261,288,1419,15923,f5803da03fc2b65e55e2d696f7948baed1b1e212,"(51.33781, -2.54832)",5,34,95,20,1
2001,16389,South West,Bath and North East Somerset,A39,PR,364800,160000,B3115,A368,2.17,16,65,6024,44,883,138,30,8,4,17,22,220,7236,7f61b640562391c2fd0997fd5ac4992e0c041dba,"(51.338, -2.5067)",8,40,126,16,1
2001,16957,South West,Bath and North East Somerset,A367,PR,372050,160820,B3115,Sulis Manor Rd roundabout,1.05,17,89,5470,91,642,105,10,15,6,13,15,165,6457,1fae721e732156a14040a793229cf0015487f433,"(51.34577, -2.40269)",9,28,67,22,1
2001,17552,South West,Bath and North East Somerset,A3062,PU,375630,164000,A36 roundabout,North Rd/The Avenue,1.05,17,39,1693,54,142,13,1,0,0,0,0,15,1942,74ab466352417604bd2aa44e6bc9a77fbcea35b8,"(51.37453, -2.35151)",33,110,574,12,1
