Pinterest URL,Note,Title,Latitude,Longitude,Thumbnail,Original,Location,Address,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
https://uk.pinterest.com/pin/287456388694334926,"SCREEN LIVING Rivers St Bath BA1 2QA, UK 51.387473, -2.363012",SCREEN LIVING,51.387473,-2.363012,https://s-media-cache-ak0.pinimg.com/236x/9e/f1/bb/9ef1bb56461ed1570d0fcc1a98bd75fc.jpg,https://s-media-cache-ak0.pinimg.com/originals/9e/f1/bb/9ef1bb56461ed1570d0fcc1a98bd75fc.jpg,"(51.387473, -2.363012)","Rivers St Bath BA1 2QA, UK",35,18,7,1,22
https://uk.pinterest.com/pin/287456388691359387,"WINDY CITY Upper Church St Bath BA1 2PR, UK 51.387622, -2.366182",WINDY CITY,51.387622,-2.366182,https://s-media-cache-ak0.pinimg.com/236x/98/df/c0/98dfc07b6f4f9cda7a940cf8b2c32e15.jpg,https://s-media-cache-ak0.pinimg.com/originals/98/df/c0/98dfc07b6f4f9cda7a940cf8b2c32e15.jpg,"(51.387622, -2.366182)","Upper Church St Bath BA1 2PR, UK",35,20,7,1,22
https://uk.pinterest.com/pin/287456388691180278,"FLYING Cheap St Bath BA1, UK 51.381757, -2.359204",FLYING,51.381757,-2.359204,https://s-media-cache-ak0.pinimg.com/236x/a0/2d/76/a02d76d144a635a66cd42c5c95aadd34.jpg,https://s-media-cache-ak0.pinimg.com/originals/a0/2d/76/a02d76d144a635a66cd42c5c95aadd34.jpg,"(51.381757, -2.359204)","Cheap St Bath BA1, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388691995148,"SHOPPERS Stall St Bath BA1 1QN, UK 51.381184, -2.360259s",SHOPPERS,51.381184,-2.360259,https://s-media-cache-ak0.pinimg.com/236x/89/56/e2/8956e23788ea77c2f37472f5c107eca0.jpg,https://s-media-cache-ak0.pinimg.com/originals/89/56/e2/8956e23788ea77c2f37472f5c107eca0.jpg,"(51.381184, -2.360259)","Stall St Bath BA1 1QN, UK s",35,11,7,1,20
https://uk.pinterest.com/pin/287456388691180583,"GEORGE ST. George St, Bath BA1 2ED, UK 51.385096, -2.361145",GEORGE ST.,51.385096,-2.361145,https://s-media-cache-ak0.pinimg.com/236x/df/f0/e5/dff0e5642aa97af3ee9ff106ab278cb1.jpg,https://s-media-cache-ak0.pinimg.com/originals/df/f0/e5/dff0e5642aa97af3ee9ff106ab278cb1.jpg,"(51.385096, -2.361145)","George St, Bath BA1 2ED, UK",35,4,7,1,22
https://uk.pinterest.com/pin/287456388693772587,"HOLBURNE LANTERN PARADE 2015 Sydney Pl Bath BA2 6NE, UK 51.385662, -2.351106",HOLBURNE LANTERN PARADE 2015,51.385662,-2.351106,https://s-media-cache-ak0.pinimg.com/236x/4a/bd/72/4abd72bee7737eb8eb814a548b8ecd63.jpg,https://s-media-cache-ak0.pinimg.com/originals/4a/bd/72/4abd72bee7737eb8eb814a548b8ecd63.jpg,"(51.385662, -2.351106)","Sydney Pl Bath BA2 6NE, UK",22,74,12,1,30
https://uk.pinterest.com/pin/287456388691219094,"THREE Lansdown Rd Bath BA1 2QW, UK 51.386426, -2.361397",THREE,51.386426,-2.361397,https://s-media-cache-ak0.pinimg.com/236x/6d/f6/15/6df6151a920560e1916513053a43d78e.jpg,https://s-media-cache-ak0.pinimg.com/originals/6d/f6/15/6df6151a920560e1916513053a43d78e.jpg,"(51.386426, -2.361397)","Lansdown Rd Bath BA1 2QW, UK",35,4,7,1,22
https://uk.pinterest.com/pin/287456388687352662,"EASTER BUNNY George St Bath BA1, UK 51.384770, -2.362214",EASTER BUNNY,51.38477,-2.362214,https://s-media-cache-ak0.pinimg.com/236x/5f/18/6b/5f186b4c26c1fc1943eb65af5925a661.jpg,https://s-media-cache-ak0.pinimg.com/originals/5f/18/6b/5f186b4c26c1fc1943eb65af5925a661.jpg,"(51.38477, -2.362214)","George St Bath BA1, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388690395800,"A GAP IN THE CLOUDS Lansdown Rd Bath BA1 2QW, UK 51.386952, -2.361456",A GAP IN THE CLOUDS,51.386952,-2.361456,https://s-media-cache-ak0.pinimg.com/236x/6e/c9/26/6ec9260c8575192eae222ec020f7b262.jpg,https://s-media-cache-ak0.pinimg.com/originals/6e/c9/26/6ec9260c8575192eae222ec020f7b262.jpg,"(51.386952, -2.361456)","Lansdown Rd Bath BA1 2QW, UK",35,22,7,1,22
https://uk.pinterest.com/pin/287456388693772650,"CYCLOP Lansdown Rd Bath BA1 2QW, UK 51.386954, -2.361287",CYCLOP,51.386954,-2.361287,https://s-media-cache-ak0.pinimg.com/236x/ed/33/51/ed3351f77d9b55135f8a0d7ddcc1b4f6.jpg,https://s-media-cache-ak0.pinimg.com/originals/ed/33/51/ed3351f77d9b55135f8a0d7ddcc1b4f6.jpg,"(51.386954, -2.361287)","Lansdown Rd Bath BA1 2QW, UK",35,22,7,1,22
https://uk.pinterest.com/pin/287456388690408014,"SLEEPY CREATUREStall St Bath BA1 1QN, UK 51.380907, -2.360121",SLEEPY,51.380907,-2.360121,https://s-media-cache-ak0.pinimg.com/236x/45/9c/e9/459ce9a54dca57130b88f337e05a40b6.jpg,https://s-media-cache-ak0.pinimg.com/originals/45/9c/e9/459ce9a54dca57130b88f337e05a40b6.jpg,"(51.380907, -2.360121)","CREATUREStall St Bath BA1 1QN, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388692387837,"FROZEN TREE Sydney Pl Bath BA2 6NF, UK 51.385649, -2.351272",FROZEN TREE,51.385649,-2.351272,https://s-media-cache-ak0.pinimg.com/236x/c0/8f/f7/c08ff7a268a774e62528133b308e4124.jpg,https://s-media-cache-ak0.pinimg.com/originals/c0/8f/f7/c08ff7a268a774e62528133b308e4124.jpg,"(51.385649, -2.351272)","Sydney Pl Bath BA2 6NF, UK",22,74,12,1,30
https://uk.pinterest.com/pin/287456388690395872,"CONSUMERS Stall St Bath BA1, UK 51.381194, -2.360261",CONSUMERS,51.381194,-2.360261,https://s-media-cache-ak0.pinimg.com/236x/d7/de/ef/d7deefc46f79f58f0dbf0345ec20c275.jpg,https://s-media-cache-ak0.pinimg.com/originals/d7/de/ef/d7deefc46f79f58f0dbf0345ec20c275.jpg,"(51.381194, -2.360261)","Stall St Bath BA1, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388690396085,"HEADS Terrace Walk (Ca) 51.380950, -2.357379",HEADS,51.38095,-2.357379,https://s-media-cache-ak0.pinimg.com/236x/2c/ff/c3/2cffc3432b69b1494b7daf15416fac13.jpg,https://s-media-cache-ak0.pinimg.com/originals/2c/ff/c3/2cffc3432b69b1494b7daf15416fac13.jpg,"(51.38095, -2.357379)",Terrace Walk (Ca),35,3,7,1,21
https://uk.pinterest.com/pin/287456388692355061,"ANIMAL MARCH Gay St Bath BA1 2PH, UK 51.384678, -2.363581",ANIMAL MARCH,51.384678,-2.363581,https://s-media-cache-ak0.pinimg.com/236x/e9/7d/86/e97d8699bb4613df3f06f1ab21632e20.jpg,https://s-media-cache-ak0.pinimg.com/originals/e9/7d/86/e97d8699bb4613df3f06f1ab21632e20.jpg,"(51.384678, -2.363581)","Gay St Bath BA1 2PH, UK",35,25,7,1,22
https://uk.pinterest.com/pin/287456388693734840,"SINISTER GULL Swallow St Bath BA1 1RB, UK 51.380742, -2.359731",SINISTER GULL,51.380742,-2.359731,https://s-media-cache-ak0.pinimg.com/236x/c3/df/19/c3df1998850392fd0f526b2cba65efeb.jpg,https://s-media-cache-ak0.pinimg.com/originals/c3/df/19/c3df1998850392fd0f526b2cba65efeb.jpg,"(51.380742, -2.359731)","Swallow St Bath BA1 1RB, UK",35,12,7,1,20
https://uk.pinterest.com/pin/287456388691196393,"VIRUS Old Bond St Bath BA1 1BL, UK 51.382653, -2.360883",VIRUS,51.382653,-2.360883,https://s-media-cache-ak0.pinimg.com/236x/da/6f/54/da6f54be5b9d523ee457abd9d36f2ffc.jpg,https://s-media-cache-ak0.pinimg.com/originals/da/6f/54/da6f54be5b9d523ee457abd9d36f2ffc.jpg,"(51.382653, -2.360883)","Old Bond St Bath BA1 1BL, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388690395898,"HAPPY NEW YEAR 2013/14 Stall St Bath BA1, UK 51.381280, -2.360294",HAPPY NEW YEAR,51.38128,-2.360294,https://s-media-cache-ak0.pinimg.com/236x/19/4f/9d/194f9de609bbc9fd9df528301237af09.jpg,https://s-media-cache-ak0.pinimg.com/originals/19/4f/9d/194f9de609bbc9fd9df528301237af09.jpg,"(51.38128, -2.360294)","2013/14 Stall St Bath BA1, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388691242209,"FORGOTTEN CITY Broad St Bath BA1, UK 51.384274, -2.360366",FORGOTTEN CITY,51.384274,-2.360366,https://s-media-cache-ak0.pinimg.com/236x/87/66/2a/87662a68ec9087bc008fb06ad1c1ada1.jpg,https://s-media-cache-ak0.pinimg.com/originals/87/66/2a/87662a68ec9087bc008fb06ad1c1ada1.jpg,"(51.384274, -2.360366)","Broad St Bath BA1, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388694379183,"GOOD FRIDAY Brock St Bath BA1, UK 51.386046, -2.364834",GOOD FRIDAY,51.386046,-2.364834,https://s-media-cache-ak0.pinimg.com/236x/17/58/ff/1758ff73d67c45d1908ff5f8b8ee358c.jpg,https://s-media-cache-ak0.pinimg.com/originals/17/58/ff/1758ff73d67c45d1908ff5f8b8ee358c.jpg,"(51.386046, -2.364834)","Brock St Bath BA1, UK",35,21,7,1,22
https://uk.pinterest.com/pin/287456388691242486,"SOCIETY CAFE 2 High St Bath BA1 5AJ, UK 51.382224, -2.359221",SOCIETY CAFE,51.382224,-2.359221,https://s-media-cache-ak0.pinimg.com/236x/df/1a/be/df1abec4b29699970f56749395b5c6bd.jpg,https://s-media-cache-ak0.pinimg.com/originals/df/1a/be/df1abec4b29699970f56749395b5c6bd.jpg,"(51.382224, -2.359221)","2 High St Bath BA1 5AJ, UK",35,11,7,1,20
https://uk.pinterest.com/pin/287456388694546341,"RED RIGHT HAND   Royal Crescent   Bath BA1, UK   51.387031, -2.369911",RED RIGHT HAND  ,51.387031,-2.369911,https://s-media-cache-ak0.pinimg.com/236x/ad/f1/f2/adf1f2cee472653e5645e603ac8647cb.jpg,https://s-media-cache-ak0.pinimg.com/originals/ad/f1/f2/adf1f2cee472653e5645e603ac8647cb.jpg,"(51.387031, -2.369911)","Royal Crescent   Bath BA1, UK",34,201,9,1,115
