postcode,data status,lines < 2mbps,average speed,median speed,maximum speed,super fast available,connections
BS408XE,OK,N,6.1,6.2,8.3,N,4
BA32LT,OK,N,14.7,16.1,18.8,Y,21
BS312HD,OK,N,21.5,19.5,>=30,Y,12
BA24AH,OK,N,12.6,14.9,16.6,N,4
BA34NJ,OK,N,16.1,13,>=30,Y,15
BA12AS,OK,N,12.3,13.1,16.6,N,4
BA14EY,No Data,N/A,N/A,N/A,N/A,Y,0
BA14ER,OK,Y,10.1,3.1,>=30,Y,20
BA23BY,OK,N,29.5,21.7,>=30,Y,14
BA27TX,OK,N,9.2,7.4,17.9,N,11
BA22PJ,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA21DR,OK,N,>=30,20,>=30,Y,15
BA15NB,OK,N,>=30,19.3,>=30,Y,16
BA14ED,OK,Y,3.2,3,5.3,Y,5
BA17LN,OK,N,4.1,3.8,6.5,N,4
BA21EB,OK,N,21,20,>=30,Y,22
BA12AD,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BA11TR,No premises,N/A,N/A,N/A,N/A,N,0
BS394LW,No Data,N/A,N/A,N/A,N/A,N,0
BA29DF,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA32EH,OK,Y,14,15.3,>=30,Y,14
BA33AU,OK,Y,15.8,18.5,22.9,N,23
BA29EY,OK,Y,1.9,2,2.6,N,6
BS408YN,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA22DT,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA32AQ,OK,N,18.5,15.9,>=30,Y,33
BA24HJ,OK,N,22.5,7.5,>=30,Y,9
BA32NQ,OK,Y,14.9,11.7,>=30,Y,17
BA32JT,OK,Y,25.8,17.8,>=30,Y,6
BS397AA,OK,Y,2.7,2.8,4.1,N,8
BS407XB,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA16QH,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA12DU,No premises,N/A,N/A,N/A,N/A,N,0
BS311BT,OK,Y,26.8,20,>=30,Y,28
BA27DE,OK,Y,4.6,2.7,13,N,16
BA25AD,OK,Y,7.9,8,14,N,8
BA25AE,OK,N,8.8,8.6,17.2,N,8
BA17RZ,OK,Y,4.9,4.2,10.8,N,15
BA11RJ,No Data,N/A,N/A,N/A,N/A,Y,0
BA13PP,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA32EX,OK,N,16.4,17.8,22.4,N,4
BS394ZJ,No premises,N/A,N/A,N/A,N/A,N,0
BA32TZ,OK,Y,12.8,6.5,>=30,Y,47
BA17TQ,OK,N,8,8,12.1,Y,13
BA22QP,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA26SU,OK,Y,7.1,3.4,>=30,Y,9
BA26UR,OK,Y,14.1,2.1,>=30,Y,9
BA10AZ,No premises,N/A,N/A,N/A,N/A,N,0
BS395AQ,OK,Y,5.9,7.4,7.6,N,5
BS395BL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS408UY,OK,N,6.5,6.4,9.7,N,9
BA25ES,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS396JY,OK,Y,2.8,3.1,4,N,14
BA14JN,OK,N,4,3.8,5.2,Y,4
BA24AW,OK,Y,13.3,17.9,20.5,N,6
BA13DX,OK,N,20.9,9.9,>=30,Y,15
BA15QA,OK,N,21.6,11.5,>=30,Y,24
BA22UB,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BS311JU,OK,N,26.6,20,>=30,Y,12
BA15JR,OK,Y,19.1,14.3,>=30,Y,17
BA24DB,No Data,N/A,N/A,N/A,N/A,Y,0
BA25QN,OK,N,16.2,18.3,22.2,N,15
BS408YA,OK,Y,3.4,3.2,6.3,N,9
BS394WQ,No premises,N/A,N/A,N/A,N/A,N,0
BA28SL,OK,Y,18.7,2.4,>=30,Y,45
BA25LH,OK,Y,15.4,16.7,21.4,N,32
BA18DD,Insufficient Data,N/A,N/A,N/A,N/A,N,1
BA21QU,OK,Y,23.8,25,>=30,Y,7
BS140BS,OK,N,>=30,>=30,>=30,Y,5
BS397RD,OK,Y,12.4,4.6,>=30,Y,17
BA13AD,OK,N,14.4,17.6,24,Y,7
BS395SL,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA28ET,OK,Y,11.8,3.2,>=30,Y,34
BA28HT,OK,Y,>=30,25,>=30,Y,12
BA32LL,OK,N,23.7,18.2,>=30,Y,9
BA26DG,OK,N,13.1,7.2,>=30,Y,10
BA25DE,OK,Y,13.9,15.6,21.2,N,10
BS408YT,OK,Y,0.8,0.9,0.9,N,3
BA27BP,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BA13RP,OK,Y,12.9,5.2,>=30,Y,21
BA25AJ,No Data,N/A,N/A,N/A,N/A,N,0
BS406AA,OK,N,6.9,6.8,8.1,N,8
BA24JW,Insufficient Data,N/A,N/A,N/A,N/A,Y,1
BA13HX,OK,Y,13.8,2.6,>=30,Y,13
BS397XE,OK,N,9.5,3.6,>=30,Y,6
BA32QE,OK,N,24.2,14.3,>=30,Y,16
BA25NR,OK,Y,8.4,5.7,>=30,Y,10
BA14BR,OK,N,16.5,9.6,>=30,Y,4
BA12XX,OK,N,10.2,9.3,15.3,Y,8
BA29EX,Insufficient Data,N/A,N/A,N/A,N/A,N,2
BS408DT,No Data,N/A,N/A,N/A,N/A,N,0
BA22TT,OK,Y,6.9,8.2,9.7,N,14
BA15SG,OK,Y,21.7,12.7,>=30,Y,13
BA26EW,OK,N,15.5,7.8,>=30,Y,15
BA26DW,OK,Y,10.7,3.7,>=30,Y,5
BA16QT,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
