Title,ContactType,MonthNumber,Count
Waste Services General Enquiry,Twitter,6,1
Waste Services Sacks Order,Telephone,6,2
Change of Address - Moving Out,Personal Visit,7,8
Change of Address - Moving Out,Telephone,7,23
Change of Address - Moving Within,Personal Visit,7,5
Change of Address - Moving Within,Telephone,7,36
Commercial Pest Control - First Appointment,Telephone,7,27
"Complaints, Compliments, Suggestions",Email,7,163
"Complaints, Compliments, Suggestions",Internet,7,3
"Complaints, Compliments, Suggestions",Letter,7,12
"Complaints, Compliments, Suggestions",Personal Visit,7,2
"Complaints, Compliments, Suggestions",Telephone,7,112
"Complaints, Compliments, Suggestions",Twitter,7,1
Council Connect  Agent Reports,Email,7,1
Council Connect  Agent Reports,Internet,7,1
Council Connect  Agent Reports,Letter,7,1
Domestic Pest Control - First Appointment,Email,7,1
Domestic Pest Control - First Appointment,Personal Visit,7,1
Domestic Pest Control - First Appointment,Telephone,7,187
Highways Drainage and Flooding,Email,7,40
Highways Drainage and Flooding,Internet,7,6
Highways Drainage and Flooding,Personal Visit,7,5
Highways Drainage and Flooding,Telephone,7,65
Highways Engineering Design Group,Email,7,2
Highways Engineering Design Group,Internet,7,2
Highways Gritting,Email,7,1
Highways Hazard or Obstruction,Email,7,10
Highways Hazard or Obstruction,Personal Visit,7,1
Highways Hazard or Obstruction,Telephone,7,29
Highways Licences,Email,7,3
Highways Licences,Telephone,7,7
Highways Maintenance of Roads and Pavements,Email,7,95
Highways Maintenance of Roads and Pavements,Personal Visit,7,32
Highways Maintenance of Roads and Pavements,Telephone,7,97
Highways Maintenance of Roads and Pavements,Twitter,7,8
Highways Potholes,Email,7,72
Highways Potholes,Personal Visit,7,6
Highways Potholes,Telephone,7,39
Highways Roadworks and Schemes,Email,7,17
Highways Roadworks and Schemes,Personal Visit,7,1
Highways Roadworks and Schemes,Telephone,7,43
Highways Roadworks and Schemes,Twitter,7,1
Highways Street Lighting,Email,7,33
Highways Street Lighting,Internet,7,1
Highways Street Lighting,Personal Visit,7,8
Highways Street Lighting,Telephone,7,50
Highways Traffic Signals,Email,7,4
Highways Traffic Signals,Personal Visit,7,1
Highways Traffic Signals,Telephone,7,13
Highways Vegetation,Email,7,142
Highways Vegetation,Internet,7,1
Highways Vegetation,Personal Visit,7,35
Highways Vegetation,Telephone,7,149
Highways Vegetation,Twitter,7,3
Library Services,Email,7,21
Library Services,Telephone,7,42
Neighbourhoods Cleansing,Email,7,226
Neighbourhoods Cleansing,Internet,7,6
Neighbourhoods Cleansing,Personal Visit,7,29
Neighbourhoods Cleansing,Telephone,7,459
Neighbourhoods Cleansing,Twitter,7,9
