Place ID,Place Name,Address,Google Rating,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
ChIJe4pUw2KOcUgRKp8B9v1PuEE,Fowlers of Bristol,"2-12 Bath Rd, Avon, Bristol BS4 3DR, United Kingdom",3.8,"(51.4467095, -2.5815922)",,,,,
ChIJDR2wZtiNcUgRz7N6ODcpGjg,Bike Workshop,"88 Colston St, Bristol BS1 5BB, United Kingdom",4.4,"(51.4569676, -2.5971279)",,,,,
ChIJp9v1NrSNcUgRscvGWg3Rw3A,BW Cycling,"Unit 1-2, Brunel Lock Development, Smeaton Rd, Bristol BS1 6SE, United Kingdom",4.9,"(51.4479982, -2.6230705)",,,,,
ChIJBe323NGNcUgRlhAADwUiJPk,Bristol Electric Bike Hire,"135 St George's Rd, Bristol BS1 5UW, United Kingdom",4.5,"(51.4508398, -2.607154)",,,,,
ChIJMx0tQdYnckgRl1CLwEhqXNY,Midsomer BMX,"Somer House, High St, Midsomer Norton, Radstock BA3 2HN, United Kingdom",,"(51.285727, -2.484024)",11,11,291,25,1
ChIJI0Fud0qBcUgRrrKHi37Ieoc,Cadence,"9 Chelsea Rd, Bath BA1 3PP, United Kingdom",4.9,"(51.385869, -2.388947)",29,16,318,8,1
ChIJvYyOnjOMcUgRd6WBw_dsj_c,Strada Cycles,"236 North St, Bristol BS3 1JD, United Kingdom",4.7,"(51.4412166, -2.6117135)",,,,,
ChIJV7Q0_9WNcUgRPqq4_4S2-VI,Mud Dock Cycleworks,"40 The Grove, Bristol BS1 4RB, United Kingdom",3.7,"(51.449239, -2.59538)",,,,,
ChIJT1nyoRGBcUgR-g70PRJPauc,DEKA Run + Ride + Coffee Bath,"3 Henry Street, Bath BA1 1JT, United Kingdom",,"(51.379659, -2.35833)",35,21,13,7,1
ChIJQ5q4RxCBcUgREIFAmem1iR0,Avon Valley Cyclery,"Brunel Square, Bath BA1 1SX, United Kingdom",4.8,"(51.3775274, -2.357271)",35,21,13,7,1
ChIJieyWg_KOcUgRj_jWQQ7RX94,Sully Cycles,"306 Wells Rd, Bristol BS4 2QG, United Kingdom",4.6,"(51.4346627, -2.5666613)",,,,,
ChIJFeEs536OcUgRhEkMfX1qcwM,Re-Cycle Bristol,"11, Waring House, Redcliffe Parade E, Bristol BS1 6TB, United Kingdom",4.8,"(51.4464495, -2.5915386)",,,,,
ChIJ44spkb-RcUgREFPStOFbyDU,J & S Accessories Ltd,"2, Enterprise Trade Centre, Roman Farm Rd, Bristol BS4 1UN, United Kingdom",4.4,"(51.4189256, -2.5883316)",,,,,
ChIJjUxiImSOcUgR1l1RIF46-z8,Bristol Cycle Shack,"25 Oxford St, Bristol BS2 0QT, United Kingdom",4.9,"(51.4512591, -2.5775008)",,,,,
ChIJQyxdEU6OcUgRmehtjrcmf1k,The Bike Shop,"Units 6-10, Bristol Vale Trading Estate, Hartcliffe Way, Bristol BS3 5RJ, United Kingdom",,"(51.429399, -2.605843)",,,,,
ChIJL_TLsbWNcUgRY1BICZxl3-o,Life Cycle UK,"The Create Centre, Smeaton Road, Bristol BS1 6XN, United Kingdom",,"(51.447124, -2.622225)",,,,,
ChIJf4bwICWMcUgRSW0hCgVUjn8,Garys Bikes,"82 Parson Street, Avon, Bristol BS3 5QQ, United Kingdom",4.9,"(51.431077, -2.604615)",,,,,
ChIJDxpFEo2OcUgRM4o11vkthmQ,Boing Bicycles - Mobile Bicycle Repair Service,"Bristol, United Kingdom",5,"(0.0, 0.0)",,,,,
ChIJ68_EpkUockgRn1DNVEUvYk4,Bike It,"County Bridge, A367, Radstock BA3 3AA, United Kingdom",5,"(51.2927787, -2.4479531)",12,79,413,24,1
ChIJeWGDGSWBcUgRV1yn-wm6F5s,73Degrees Bicycle Shop,"22 Temple St, Keynsham, Bristol BS31 1EH, United Kingdom",5,"(51.4136253, -2.4978107)",37,52,182,2,1
ChIJ28c83RWBcUgRsC0NxL-dP2A,Green Park Bike Station,"Unit 9, Green Park Station, Green Park Rd, Bath BA1 1JB, United Kingdom",3.8,"(51.3815893, -2.3668684)",34,55,195,9,1
ChIJlSYl5HeOcUgRP6ZXW2XbXQw,Roll for the Soul,"2 Quay St, Bristol BS1 2JL, United Kingdom",4.7,"(51.455747, -2.5953725)",,,,,
ChIJ8_GBS0gmckgRHIMiMqGwDVU,Halfords,"1, The Garage, Church Ln, Midsomer Norton, Radstock BA3 2JL, UK",4.1,"(51.285849, -2.4864218)",25,14,301,27,1
ChIJAdi2iMYnckgRSzoT2Cy3dlk,Gecko Bikes,"30, Old Mills Industrial Estate, Paulton, Bristol BS39 7SU, UK",0,"(51.2915746, -2.5025964)",13,67,373,23,1
ChIJpzZH8Z6PcUgRFx7rPqmN67U,John Wood's Cycle Repair Centre,"62 High St, Bristol BS15 3DR, United Kingdom",4.9,"(51.4489861, -2.5170882)",,,,,
