Ref,Description,LocationDescription,Status,Start,End,OrganisationName,TrafficType,Easting,Northing,Latitude,Longitude,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
30009927,"REPLACE 151M OF 6IN, 4IN CI WITH 151M OF 75MM, 125MM PE AND REPLACE OR TRANSFER APPROX 12 SERVICES.",Outside of the coach house,Completed,20/06/2016 12:00:00 AM,26/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Road Closure,375918,168390,51.41401200801976,-2.347667199154165,"(51.41401200801976, -2.3476671991541647)",1,25,51,10,1
30012171,REPLACE 336M OF 4IN SI WITH 336M OF 75MM PE AND REPLACE OR TRANSFER APPROX 35 SERVICES.,14 COURTNEY HOUSE,Completed,18/03/2016 12:00:00 AM,29/07/2016 12:00:00 AM,WGA - BRISTOL & BATH,Give and Take,374670,166845,51.40006561944849,-2.365501126472401,"(51.40006561944849, -2.3655011264724006)",21,1,233,7,1
600074,"Please carry out the necessary work to replace the aluminium lighting column with a 6 metre tubular galvanised steel column,",TEMPLE CLOUDBRISTOLBATH AND NORTH EAST SOMERSET,Completed,01/08/2016 12:00:00 AM,03/08/2016 12:00:00 AM,SSE Street Lighting,Signing Only,362643,158108,51.320841760980379,-2.537458853451183,"(51.32084176098038, -2.537458853451183)",2,7,267,20,1
30015074,8m road crossing in tarmac road and 2m trenching in tarmac road for new supply.Working under Winway Homes Deveopments Ltd road closure.,Opposite junction of Brook View,Completed,22/08/2016 12:00:00 AM,30/08/2016 12:00:00 AM,1163 NE MENDIP CONSTRUCTION,Signing Only,366286,160875,51.34594928244308,-2.485446710134628,"(51.34594928244308, -2.4854467101346285)",8,40,129,16,1
30012525,Renovations- snagging,120m to the rhs of entrance to The Linney 10mm,Completed,29/07/2016 12:00:00 AM,02/08/2016 12:00:00 AM,Bristol Water,Road Closure,355829.24,157278.3,51.312892095236919,-2.635127339742892,"(51.31289209523692, -2.635127339742892)",2,6,274,21,1
30015096,Repair Service,"Kennard Hotel, 11",Completed,18/07/2016 12:00:00 AM,20/07/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Signing Only,375267.26,165107.82,51.384472321482463,-2.356794233826394,"(51.38447232148246, -2.356794233826394)",35,21,5,7,1
30009970,"REPLACE 194M OF 4IN DI, SI WITH 194M OF 75MM PE AND REPLACE OR TRANSFER APPROX 24 SERVICES",JUNC CHERWELL ROAD/WINDRUSH ROAD - O/S NO. 12 CHERWELL ROAD,Completed,01/04/2016 12:00:00 AM,31/03/2017 12:00:00 AM,WGA - BRISTOL & BATH,Give and Take,366309,167698,51.407298501712162,-2.485765717086506,"(51.40729850171216, -2.485765717086506)",16,47,141,3,1
600039,Replacement of Street Lights in Bloomfield Rise,BLOOMFIELD RISE BLOOMFIELDBATHBATH AND NORTH EAST SOMERSET,Completed,10/10/2016 12:00:00 AM,16/11/2016 12:00:00 AM,SSE Street Lighting,Signing Only,373531,162564.5,51.361525488485128,-2.381553230088934,"(51.36152548848513, -2.3815532300889335)",30,19,342,19,1
30015217,Urgent excavation in highway to locate and repair LV cable fault.,Outside Rosewell House,Completed,21/07/2016 09:30:00 AM,29/07/2016 12:00:00 AM,1163 NE MENDIP CONSTRUCTION,Signing Only,374802,164761,51.381333341415612,-2.363455098752471,"(51.38133334141561, -2.363455098752471)",34,55,196,9,1
30012525,Renovations- snagging,120m to the rhs of entrance to The Linney 10mm,Completed,29/07/2016 12:00:00 AM,02/08/2016 12:00:00 AM,Bristol Water,Road Closure,355822.03,157285.44,51.312955731176359,-2.63523166560162,"(51.31295573117636, -2.63523166560162)",2,6,274,21,1
600059,Replacement of street lights in Rotcombe Lane,ROTCOMBE LANE HIGH LITTLETONBRISTOLBATH AND NORTH EAST SOMERSET,Completed,30/01/2017 12:00:00 AM,08/03/2017 12:00:00 AM,SSE Street Lighting,Signing Only,364830.5,158711.5,51.326407961011327,-2.506129321177011,"(51.32640796101133, -2.5061293211770113)",3,42,138,23,1
30009928,"REPLACE 248M OF 2IN ST (DIRECTIONAL DRILL) WITH 303M OF 40MM, 63MM PE AND REPLACE OR TRANSFER APPROX 3 SERVICES.",Outside of the old policehouse,Completed,25/07/2016 12:00:00 AM,05/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Road Closure,376115,167822,51.408913245483781,-2.344796119069377,"(51.40891324548378, -2.344796119069377)",1,25,51,10,1
30015332,CLEAR BLOCKAGE IN FOOTWAY,O/S FLAT 2 FAULKLAND HOUSE FAULKLAND ROAD BATH  BA2 3LS,Completed,02/08/2016 12:00:00 AM,04/08/2016 12:00:00 AM,NATIONAL NOTICING DEPARTMENT,No Carriageway Incursion,373774.66,164156.52,51.375851440802883,-2.378171675643986,"(51.37585144080288, -2.3781716756439857)",31,63,349,14,1
30015155,Urgent excavation in highway to locate and repair LV cable fault.,Opposite 4,Completed,16/07/2016 05:30:00 PM,25/07/2016 12:00:00 AM,1163 NE MENDIP CONSTRUCTION,Give and Take,370272,154822,51.291747072441943,-2.427711436969274,"(51.29174707244194, -2.4277114369692745)",12,78,410,24,1
