id,uri,title,published,isbn,author
GB96Y9150,http://bnb.data.bl.uk/id/resource/007713380,Dakota gold,1996,0786201991,Tim Champlin
GB9910220,http://bnb.data.bl.uk/id/resource/012702221,Tiny tyrannosaurus and her fierce teeth,1997,1857244508,Paul Flemming
GB8905893,http://bnb.data.bl.uk/id/resource/008422905,Boss of Panamint,1990,0792700597,Leslie Ernenwein
GB8727011,http://bnb.data.bl.uk/id/resource/010737072,Deadline,1987,086220710X,Martin Russell
GB95S2343,http://bnb.data.bl.uk/id/resource/007713051,Fire of the gods,1995,0745130003,Madeleine Ker
GBA455162,http://bnb.data.bl.uk/id/resource/012959401,Snobs,2004,0754079635,Julian Fellowes
GB7932143,http://bnb.data.bl.uk/id/resource/007437385,Walking in Bath,1978,0906230004,Charles Greenwood
GB7623768,http://bnb.data.bl.uk/id/resource/010103497,Private worlds,1976,0859971686,Phyllis Bottome
GBB259991,http://bnb.data.bl.uk/id/resource/016107407,White Wolf's pack,2012,1445824094,Hal Dunning
GB99X8177,http://bnb.data.bl.uk/id/resource/008393239,A bleeding of innocents,1999,075403481X,Jo Bannister
GBA680418,http://bnb.data.bl.uk/id/resource/013557713,The tenth circle,2006,0786288345,Jodi Picoult
GB8108626,http://bnb.data.bl.uk/id/resource/008783093,The Allingham case-book,1981,0851191045,Margery Allingham
GB8224231,http://bnb.data.bl.uk/id/resource/008783475,Outcast gun,1982,0851194990,Giles A. Lutz
GB7418492,http://bnb.data.bl.uk/id/resource/010961013,Pendragon,1974,0850465451,Muriel Howe
GB8603675,http://bnb.data.bl.uk/id/resource/009445314,High lonesome,1986,0893409502,Al Cody
GB7632048,http://bnb.data.bl.uk/id/resource/008113345,The war of the worlds,1976,0850466660,H. G. Wells
GBA0X9167,http://bnb.data.bl.uk/id/resource/008392057,Atlantis found,2000,0786222832,Clive Cussler
GB7314854,http://bnb.data.bl.uk/id/resource/010972118,The gold slippers,1973,0855948272,Frances Parkinson Keyes
GBA795141,http://bnb.data.bl.uk/id/resource/014407664,Tangled trails,2008,1405643641,William MacLeod Raine
GBA888786,http://bnb.data.bl.uk/id/resource/014669130,Mrs Jeffries and the feast of St Stephen,2008,1597227129,Emily Brightwell
GB8313402,http://bnb.data.bl.uk/id/resource/008783913,As bends the bough,1983,0851199410,Ursula Bloom
